Municipality,Formal Title,Contact Name,Street Address,Town/City,Province,Postal Code,Email,X Handle,Link
Yellowhead County,Mayor,Wade Williams,2716 - 1 Avenue,Edson,Alberta,T7E 1N9,Yellowhead County@hseanalytics.com,@Yellowhead County,Home - Yellowhead County (yhcounty.ca)
Brazeau County,Reeve,Bart Guyon,"Box 77, 7401 Twp Rd 494",Drayton Valley,Alberta,T7A 1R1,Brazeau County@hseanalytics.com,@Brazeau County,Brazeau County
Big Lakes County,Reeve,Tyler Airth,"Box 239, 5305-56 Street",High Prairie,Alberta,T0G 1E0,Big Lakes County@hseanalytics.com,@Big Lakes County,"Big Lakes County - Explore our beautiful lakes, trails, and countryside"
MD of Greenview,Reeve,Tylor Olsen,"4806-36 Ave, Box 1079",Valleyview,Alberta,T0H 3N0,MD of Greenview@hseanalytics.com,@MD of Greenview,Municipal District of Greenview (mdgreenview.ab.ca)
Starland County,Reeve,Steven Wannstrom,"217 Railway Avenue North, PO Box 249",Morrin,Alberta,T0J 2B0,Starland County@hseanalytics.com,@Starland County,Home | Starland County
MD of Ranchland No. 66,Reeve,Ron Davis,Box 1060,Nanton,Alberta,T0L 1R0,MD of Ranchland No. 66@hseanalytics.com,@MD of Ranchland No. 66,M.D. of Ranchland No. 66 - (mdranchland.ca)
County of Paintearth No. 18,Reeve,Stan Schulmeister,Box 509,Castor,Alberta,T0C 0X0,County of Paintearth No. 18@hseanalytics.com,@County of Paintearth No. 18,County of Paintearth No. 18: Home (countypaintearth.ca)
Lesser Slave River No.124,Reeve,Murray Kerik,"PO Box 722, 3000 - 15th Ave SE",Slave Lake,Alberta,T0G 2A0,Lesser Slave River No.124@hseanalytics.com,@Lesser Slave River No.124,Lesser Slave River | Homepage (mdlsr.ca)
Westlock County,Reeve,Christine Wiese,10336-106 Street,Westlock,Alberta,T7P 2G1,Westlock County@hseanalytics.com,@Westlock County,Westlock County - Home
Northern Sunrise County,Reeve,Corinna Williams,"135 Sunrise Road, Bag 1300",Peace River,Alberta,T8S 1Y9,Northern Sunrise County@hseanalytics.com,@Northern Sunrise County,Home - Northern Sunrise County
Red Deer County,Mayor,Jim Wood,"Red Deer County Centre, 38106 Range Rd 275",Red Deer County,Alberta,T4S 2L9,Red Deer County@hseanalytics.com,@Red Deer County,"Red Deer County, AB - Official Website | Official Website (rdcounty.ca)"
MD of Wainwright No. 61,Reeve,Bob Barss,717 - 14th Avenue,Wainwright,Alberta,T9W 1B3,MD of Wainwright No. 61@hseanalytics.com,@MD of Wainwright No. 61,Municipal District of Wainwright No. 61 | A Thriving Part of Rural Alberta (mdwainwright.ca)
MD of Provost No. 52,Reeve,Allan Murray,Box 300,Provost,Alberta,T0B 3S0,MD of Provost No. 52@hseanalytics.com,@MD of Provost No. 52,Current Council | Municipal District of Provost (mdprovost.com)
Lacombe County,Reeve,Barbara Shepherd,"Lacombe County Office, RR 3",Lacombe,Alberta,T4L 2N3,Lacombe County@hseanalytics.com,@Lacombe County,Councilor Profiles and Division Map - Lacombe County
Athabasca County,Reeve,Brian Hall,3602-48th Avenue,Athabasca,Alberta,T9S 1M8,Athabasca County@hseanalytics.com,@Athabasca County,Council - Athabasca County
County of Wetaskiwin,Reeve,John Bishop,Box 6960,Wetaskiwin,Alberta,T9A 2G5,County of Wetaskiwin@hseanalytics.com,@County of Wetaskiwin,"Council | Wetaskiwin County, AB - Official Website"
Wheatland County,Reeve,Amber Link,242006 Range Road 243,Wheatland County,Alberta,T1P 2C4,Wheatland County@hseanalytics.com,@Wheatland County,Council - Wheatland County
Leduc County,Mayor,Tanni Doblanko,101-1101  5 Street,Nisku,Alberta,T9E 2X3,Leduc County@hseanalytics.com,@Leduc County,Mayor and council - Leduc County (leduc-county.com)
Thorhild County,Reeve,Janine Paly,Box 10 ,Thorhild,Alberta,T0A 3J0,Thorhild County@hseanalytics.com,@Thorhild County,Thorhild County > Government > Council > County Council
Lethbridge County,Reeve,Tory Campbell,"#100, 905 - 4th Avenue South",Lethbridge,Alberta,T1J 4E4,Lethbridge County@hseanalytics.com,@Lethbridge County,https://lethcounty.ca/p/contact-council
Lac la Biche County,Mayor,Paul Reutov,Box 1679,Lac La Biche,Alberta,T0A 2C0,Lac la Biche County@hseanalytics.com,@Lac la Biche County,Lac La Biche County - County Council
County of Warner,Reeve,Randy Taylor,"Box 90, 300 Country Rd ",Warner,Alberta,T0K 2L0,County of Warner@hseanalytics.com,@County of Warner,County of Warner - Council Members (warnercounty.ca)
MD of Willow Creek No. 26,Reeve,Maryanne Sandberg," #273129 Secondary Highway 520, P.O. Box 550",Claresholm,Alberta,T0L 0T0,MD of Willow Creek No. 26@hseanalytics.com,@MD of Willow Creek No. 26,MD of Willow Creek - Council of MD of Willow Creek (mdwillowcreek.com)
Rocky View County,Reeve,Crystal Kissel,262075 Rocky View Point,Rocky View County,Alberta,T4A 0X2,Rocky View County@hseanalytics.com,@Rocky View County,Councillors | Rocky View County
Mountain View County,Reeve,Angela Aalbers,"10 - 1408 Twp Rd 320, PO Bag 100",Didsbury,Alberta,T0M 0W0,Mountain View County@hseanalytics.com,@Mountain View County,Mountain View County - County Council
Cardston County,Reeve,Cameron Francis,"P.0. Box 580, 1050 Main Street",Cardston,Alberta,T0K 0K0,Cardston County@hseanalytics.com,@Cardston County,Cardston County - Home
MD of Bonnyville,Reeve,Barry Kalinski,"4905-50 Avenue, Bag 1010",Bonnyville,Alberta,T9N 2J7,MD of Bonnyville@hseanalytics.com,@MD of Bonnyville,"MD of Bonnyville, AB - Official Website | Official Website"
County of Barrhead,Reeve,Doug Drozd,5306-49 Street,Barrhead,Alberta,T7N 1N5,County of Barrhead@hseanalytics.com,@County of Barrhead,County of Barrhead - Home (countybarrhead.ab.ca)
Ponoka County,Reeve,Paul McLauchlin,4205 Highway 2A,Ponoka,Alberta,T4J 1V9,Ponoka County@hseanalytics.com,@Ponoka County,Ponoka County - Ponoka County
Minburn County,Reeve,Roger Konieczny,"4909-50 Street, Box 550",Vegreville,Alberta,T9C 1R6,Minburn County@hseanalytics.com,@Minburn County,County of Minburn - Home (minburncounty.ab.ca)
Pincher Creek No. 9,Reeve,David Cox,"Box 279, 1037 Herron Avenue ",Pincher Creek,Alberta,T0K 1W0,Pincher Creek No. 9@hseanalytics.com,@Pincher Creek No. 9,https://mdpinchercreek.ab.ca/
Grande Prairie County No. 1,Reeve,Bob Marshall,10001 - 84 Avenue,Clairmont,Alberta,T8X 5B2,Grande Prairie County No. 1@hseanalytics.com,@Grande Prairie County No. 1,County of Grande Prairie No.1 (countygp.ab.ca)
Camrose County,Reeve,Cindy Trautman,3755-43 Avenue,Camrose,Alberta,T4V 3S8,Camrose County@hseanalytics.com,@Camrose County,"Camrose County | Your Place to Live, Work, Play"
MD of Opportunity ,Reeve,Marcel Auger,"2077 Mistassiniy Road North, Box 60",Wabasca,Alberta,T0G 2K0,MD of Opportunity @hseanalytics.com,@MD of Opportunity ,MD of opportunity - Home (mdopportunity.ab.ca)
Clearwater County,Reeve,Michelle Swanson,"4340-47 Avenue, Box 550",Rocky Mountain House,Alberta,T4T 1A4,Clearwater County@hseanalytics.com,@Clearwater County,Clearwater County - Home
Sturgeon County,Mayor,Alanna Hnatiw,9613-100 Street,Morinville,Alberta,T8R 1L9,Sturgeon County@hseanalytics.com,@Sturgeon County,Sturgeon County – Community. Innovation. Ambition.
Birch Hills County,Reeve,Albert Poetker,"Birch Hills County, Box 157",Wanham,Alberta,T0H 3P0,Birch Hills County@hseanalytics.com,@Birch Hills County,Home - Birch Hills County
Lamont County,Reeve,David Diduck,5303-50th Avenue,Lamont,Alberta,T0B 2R0,Lamont County@hseanalytics.com,@Lamont County,Lamont County: Home
Beaver County,Reeve,Kevin Smook,"5120 - 50th Street, Box 140",Ryley,Alberta,T0B 4A0,Beaver County@hseanalytics.com,@Beaver County,"Beaver County, Alberta: Home"
Newell County,Reeve,Arno Doerksen,P.O. Box 130,Brooks,Alberta,T1R 1B2,Newell County@hseanalytics.com,@Newell County,"Newell County, AB (countyofnewell.ab.ca)"
Smoky River No. 130,Reeve,Robert Brochu,P.O. Box 210,Falher,Alberta,T0H 1M0,Smoky River No. 130@hseanalytics.com,@Smoky River No. 130,“WELCOME – BIENVENUE” - Municipal District of Smoky River No. 130 (mdsmokyriver.com)
Two Hills County,Reeve,Murray Phillips,"4818-50 Avenue, Box 490",Two Hills,Alberta,T0B 4K0,Two Hills County@hseanalytics.com,@Two Hills County,County of Two Hills - Home (thcounty.ab.ca)
Lac Ste. Anne County,Reeve,Joe Blackeman,Box 219,Sangundo,Alberta,T0E 2A0,Lac Ste. Anne County@hseanalytics.com,@Lac Ste. Anne County,Welcome to the Municipal Website for Lac Ste. Anne County (lsac.ca)
Smoky Lake County,Reeve,Jered Serben,Box 1045,Smoky Lake,Alberta,T0A 3C0,Smoky Lake County@hseanalytics.com,@Smoky Lake County,Smoky Lake County - Home
Parkland County,Mayor,Allan Gamble,53109A Highway 779,Parkland County,Alberta,T7Z 1R1,Parkland County@hseanalytics.com,@Parkland County,Parkland County
